id,title,solutions
30,Permission Denied Error,"['Check folder permissions', 'Request access', 'Contact admin']"
31,Application Timeout,"['Increase timeout setting', 'Optimize application', 'Check server performance']"
32,VPN Authentication Failure,"['Verify VPN credentials', 'Reset VPN password', 'Check VPN server']"
33,Firewall Rule Misconfiguration,"['Review firewall rules', 'Revert recent changes', 'Contact network admin']"
34,Database Query Error,"['Check query syntax', 'Optimize query', 'Review database schema']"
35,Screen Flickering Issue,"['Check monitor cable', 'Update graphics driver', 'Try different monitor']"
36,Unhandled Exception Error,"['Check application logs', 'Debug code', 'Update application']"
37,Backup Failure,"['Check backup logs', 'Verify backup destination', 'Retry backup job']"
38,Network Printer Offline,"['Check printer network', 'Restart printer', 'Re-add printer']"
39,User Profile Corruption,"['Create new user profile', 'Restore from backup', 'Repair Windows profile']"
40,Deployment Regression,"['Rollback deployment', 'Review release notes', 'Test in staging']"
41,Password Reset for HR Portal,"['Reset HR portal password', 'Verify HR user status', 'Unlock HR account']"
42,Outlook Search Not Working,"['Rebuild Outlook index', 'Update Outlook', 'Repair Outlook installation']"
43,File Access Denied,"['Check file permissions', 'Request access', 'Contact IT support']"
44,Software Crash on Save,"['Update software', 'Check for patches', 'Review application logs']"
45,Mouse Lag Issue,"['Replace mouse batteries', 'Update mouse drivers', 'Try wired mouse']"
46,API Rate Limit Exceeded,"['Wait and retry', 'Optimize API calls', 'Contact API provider']"
47,Server Reboot Required,"['Schedule server reboot', 'Check running processes', 'Notify users']"
48,Email Delivery Failure,"['Check recipient address', 'Review email logs', 'Contact email provider']"
49,Software Compatibility Issue,"['Check software requirements', 'Update software', 'Contact vendor']"
50,Folder Permission Issue,"['Check folder permissions', 'Request access', 'Contact admin']"
51,Application Memory Leak,"['Update application', 'Monitor memory usage', 'Restart application']"
52,VPN Timeout Error,"['Increase VPN timeout', 'Check VPN logs', 'Restart VPN client']"
53,Firewall Blocking App,"['Allow app in firewall', 'Review firewall rules', 'Contact network admin']"
54,Database Deadlock,"['Optimize queries', 'Review transaction logic', 'Restart database']"
55,Keyboard Not Responding,"['Try different USB port', 'Replace keyboard', 'Update keyboard drivers']"
56,Security Incident Detected,"['Review security logs', 'Isolate affected system', 'Reset credentials']"
57,Backup Restore Failure,"['Check restore logs', 'Verify backup integrity', 'Retry restore job']"
58,Printer Queue Stuck,"['Clear print queue', 'Restart print spooler', 'Re-add printer']"
59,User Profile Sync Issue,"['Check sync settings', 'Restart sync service', 'Re-add user profile']"
60,CI/CD Build Timeout,"['Increase build timeout', 'Optimize build steps', 'Check build server']"
61,Password Reset for SaaS App,"['Reset SaaS password', 'Verify SaaS user status', 'Unlock SaaS account']"
62,Outlook Add-In Failure,"['Disable problematic add-in', 'Update add-ins', 'Repair Outlook installation']"
63,Shared Folder Not Found,"['Check network path', 'Remap shared folder', 'Contact IT support']"
64,Software Update Stuck,"['Restart update process', 'Check update logs', 'Free up disk space']"
65,Monitor Display Issue,"['Check monitor cable', 'Update display drivers', 'Try different monitor']"
66,API Authentication Error,"['Verify API token', 'Reset API credentials', 'Contact API provider']"
67,Server Out of Memory,"['Increase server RAM', 'Optimize applications', 'Restart server']" 
